region_id,time_slot,Time,gap
1,0,2016-01-01 00:05:01,133
1,1,2016-01-01 00:11:05,109
1,2,2016-01-01 00:29:36,95
1,3,2016-01-01 00:34:28,62
1,4,2016-01-01 00:46:04,54
1,5,2016-01-01 00:57:17,49
1,6,2016-01-01 01:01:43,61
1,7,2016-01-01 01:13:34,58
1,8,2016-01-01 01:23:42,62
1,9,2016-01-01 01:39:40,60
1,10,2016-01-01 01:45:39,66
1,11,2016-01-01 01:55:53,53
1,12,2016-01-01 02:08:58,43
1,13,2016-01-01 02:12:15,72
1,14,2016-01-01 02:28:34,46
1,15,2016-01-01 02:38:05,50
1,16,2016-01-01 02:42:24,43
1,17,2016-01-01 02:51:16,50
1,18,2016-01-01 03:05:37,46
1,19,2016-01-01 03:10:50,41
1,20,2016-01-01 03:22:27,38
1,21,2016-01-01 03:36:32,45
1,22,2016-01-01 03:46:09,26
1,23,2016-01-01 03:53:23,37
1,24,2016-01-01 04:08:17,18
1,25,2016-01-01 04:11:09,13
1,26,2016-01-01 04:24:29,23
1,27,2016-01-01 04:35:54,13
1,28,2016-01-01 04:46:36,21
1,29,2016-01-01 04:55:15,36
1,30,2016-01-01 05:04:13,66
1,31,2016-01-01 05:11:49,49
1,32,2016-01-01 05:26:06,53
1,33,2016-01-01 05:32:56,90
1,34,2016-01-01 05:49:06,94
1,35,2016-01-01 05:54:35,216
1,36,2016-01-01 06:08:09,369
1,37,2016-01-01 06:15:33,351
1,38,2016-01-01 06:26:30,337
1,39,2016-01-01 06:31:22,277
1,40,2016-01-01 06:47:06,217
1,41,2016-01-01 06:51:57,105
1,42,2016-01-01 07:07:42,100
1,43,2016-01-01 07:17:42,52
1,44,2016-01-01 07:23:21,50
1,45,2016-01-01 07:30:47,65
1,46,2016-01-01 07:45:07,114
1,47,2016-01-01 07:50:35,108
1,48,2016-01-01 08:09:25,333
1,49,2016-01-01 08:16:06,1088
1,50,2016-01-01 08:25:41,775
1,51,2016-01-01 08:30:51,586
1,52,2016-01-01 08:42:33,906
1,53,2016-01-01 08:57:40,211
1,54,2016-01-01 09:06:26,94
1,55,2016-01-01 09:13:23,74
1,56,2016-01-01 09:26:05,81
1,57,2016-01-01 09:31:35,85
1,58,2016-01-01 09:42:54,78
1,59,2016-01-01 09:50:05,70
1,60,2016-01-01 10:06:49,62
1,61,2016-01-01 10:14:11,55
1,62,2016-01-01 10:24:44,61
1,63,2016-01-01 10:36:59,74
1,64,2016-01-01 10:45:59,66
1,65,2016-01-01 10:54:06,63
1,66,2016-01-01 11:05:26,83
1,67,2016-01-01 11:14:35,88
1,68,2016-01-01 11:27:34,135
1,69,2016-01-01 11:37:10,135
1,70,2016-01-01 11:45:20,157
1,71,2016-01-01 11:58:44,142
1,72,2016-01-01 12:03:53,144
1,73,2016-01-01 12:16:56,145
1,74,2016-01-01 12:28:58,110
1,75,2016-01-01 12:36:01,101
